api_class_name,internal_name,description,treatment_id,full_name,gene_id,method,display_name,long_display_name
ApiTbiDonorMetric,ihc_a_beta,Percentage of area covered by Aβ immunreactivity on fresh frozen tissue (25μm); identifies both Aβ40 and Aβ42.,300239718,Beta-amyloid  immunohistochemistry (fresh frozen tissue): areal density,,IHC: Fresh Frozen,Aβ(fresh),Aβ IHC density (fresh)
TbiNonquantifiedImageStains,h_e_lfb_ffpe,Hematoxylin identifies cell nuclei; Eosin stains cytoplasm and some cytoplasmic inclusions; Luxol Fast Blue stains myelin in tissue (5 μm).,471133394,Hematoxylin and eosin-Luxol Fast Blue stains,,"Formalin Fixed, Paraffin Embedded",H&E-LFB(FFPE),H&E-LFB stain (FFPE)
ApiTbiDonorMetric,ihc_a_syn,Percentage of area covered by α-synuclein immunreactivity on fresh frozen tissue (25μm); identifies Lewy bodies and Lewy neurites.,300239725,Alpha-synuclein immunohistochemistry (fresh frozen tissue): areal density,,IHC: Fresh Frozen,α-syn(fresh),α-syn IHC density (fresh)
ApiTbiDonorDetail,root_specimen_external_name,UW autopsy number,,Top Specimen External Name,,,,
ApiTbiDonorMetric,ifn_g_pg_per_mg,"A prototype pro-inflammatory cytokine, critical for innate and adaptive immunity against viral and some bacterial infection via activation of macrophages and induction of class II MHC expression.",,Interferon-gamma,,Luminex,IFNγ,IFNγ protein quant.
ApiTbiDonorDetail,race,White or non-white,,Race,,,Race,Race
ApiTbiDonorDetail,name,Deidentified ID corresponding to a unique ACT (Adult Changes in Thought) donor.,,Donor ID,,,Donor,Donor ID
TbiNonquantifiedImageStains,ish_aqp4,"ISH of AQP4, targeting all astrocytes.",1,Aquaporin 4 (ISH),358,ISH,AQP4,AQP4
TbiNonquantifiedImageStains,ish_slc17a7,"ISH of the vesicular glutamate transporter SLC17A7 (VGLUT1), targeting all excitatory cells.",1,"Solute carrier family 17 (vesicular glutamate transporter), member 7 (ISH)",36308,ISH,SLC17A7,SLC17A7
ApiTbiDonorDetail,ever_tbi_w_loc,Identification of TBI vs. control cases,,Ever TBI with Loss of Consciousness?,,,TBI?,TBI (Y/N)
ApiTbiDonorMetric,rantes_pg_per_mg,A chemokine belonging to the CC chemokine subfamily produced by epithelial and mesodermal cells.  It plays an active role in recruiting leukocytes into inflammatory sites.,,"Regulated on activation, normal T cell expressed and secreted; also known as CCL5",,Luminex,RANTES,RANTES protein quant.
ApiTbiDonorMetric,ihc_tau2_ffpe,"Percentage of area covered by Tau2 immunreactivity on formalin fixed, paraffin embedded tissue (5μm); identifies mature neurofibrillary tangles and dystrophic neurites.",471133381,"Phospho-tau (mature) immunohistochemistry (formalin fixed, paraffin embedded; labeled by Tau2): areal density",,"IHC: Formalin Fixed, Paraffin Embedded",Tau2(FFPE),Mature Tau IHC density (Tau2; FFPE)
ApiTbiDonorDetail,external_donor_name,ACT (Adult Changes in Thought) number,,External Donor Name,,,ACT ID,
ApiTbiDonorMetric,isoprostane_pg_per_mg,"Prostaglandin-like compounds produced by the reaction of free-radicals with arachidonic acid, they are considered reliable biomarkers and mediators of oxidative stress.",,F2-Isoprostane,,,F2-IP,F2-IP (oxidative stress)
ApiTbiDonorDetail,act_demented,Any dementia noted during subject's tenure in the ACT study.,,Presence of any dementia,,,Dementia?,Dementia (Y/N)
