gene_symbol,gene_id,entrez_id,chromosome,strand,number_of_transcripts,median_transcriptome_length,median_genome_length,median_number_of_exons,median_gene_start,median_gene_end
A1BG,2,1,19,-,1,1758,6693,8,58858172,58864865
A1BG-AS1,1012471,503538,19,+,1,2126,3213,4,58863336,58866549
A1CF,29707,29974,10,-,6,9350,86266,14,52559169,52645435
A2LD1,59673,87769,13,-,2,2668,31133,2,101182418,101213551
A2M,3,2,12,-,1,4617,48254,36,9220304,9268558
A2ML1,80379,144568,12,+,1,5152,54227,36,8975150,9029377
A4GALT,33241,53947,22,-,1,2089,28749,3,43088127,43116876
A4GNT,30628,51146,3,-,1,1768,8669,3,137842560,137851229
AA06,157122525,100506677,17,-,1,605,3949,3,31856806,31860755
AAA1,126784,404744,7,-,3,4705,411760,5,34386124,34797884
AAAS,8035,8086,12,-,2,1772,14172,16,53701240,53715412
AACS,41828,65985,12,+,1,3303,77946,18,125549925,125627871
AACSP1,182053,729522,5,-,1,2166,11413,7,178191864,178203277
AADAC,10,13,3,+,1,1601,14415,5,151531861,151546276
AADACL2,110135,344752,3,+,1,1495,23852,5,151451704,151475556
AADACL3,79169,126767,1,+,2,3937,12608,4,12776118,12788726
AADACL4,110038,343066,1,+,1,1571,22531,4,12704566,12727097
AADAT,30648,51166,4,-,2,2204,29904,14,170981373,171011278
AAGAB,55522,79719,15,-,1,2835,53707,10,67493367,67547074
AAK1,22604,22848,2,-,1,21243,185850,22,69685127,69870977
AAMP,11,14,2,-,1,1782,6041,11,219128852,219134893
AANAT,12,15,17,+,2,1464,9668,6,74456532,74466199
AARS,13,16,16,-,1,3323,37115,21,70286297,70323412
AARS2,36778,57505,6,-,1,4760,14600,22,44266463,44281063
AARSD1,56529,80755,17,-,4,1894,20958,12,41111324,41132545
AASDH,79540,132949,4,-,1,3546,49181,15,57204457,57253638
AASDHPPT,37956,60496,11,+,1,2855,21127,6,105948292,105969419
AASS,10012,10157,7,-,1,5847,70746,24,121713598,121784344
AATF,26321,26574,17,+,1,2129,107996,12,35306175,35414171
AATK,9481,9625,17,-,1,5297,48776,14,79091096,79139872
ABAT,15,18,16,+,3,4892,71606,16,8806826,8878432
ABCA1,16,19,9,-,1,10452,147243,50,107543284,107690527
ABCA10,10202,10349,17,-,1,6291,96808,40,67144148,67240956
ABCA11P,55765,79963,4,-,1,1892,48774,3,419224,467998
ABCA12,25903,26154,2,-,2,8544,153714,49,215796266,215949980
ABCA13,81196,154664,7,+,1,17122,476034,62,48211057,48687091
ABCA17P,181276,650655,16,+,1,4171,85777,17,2390923,2476700
ABCA2,17,20,9,-,2,8107,21371,48,139901686,139923057
ABCA3,18,21,16,-,1,6590,64868,33,2325879,2390747
ABCA4,21,24,1,-,1,7275,128311,50,94458394,94586705
ABCA5,23216,23461,17,-,2,8674,76972,38,67240576,67317548
ABCA6,23215,23460,17,-,1,5257,63168,39,67074847,67138015
ABCA7,10200,10347,19,+,1,6771,25468,47,1040102,1065570
ABCA8,10204,10351,17,-,1,5682,88102,38,66863431,66951533
ABCA9,10203,10350,17,-,1,6262,86363,39,66970773,67057136
ABCB1,5211,5243,7,-,1,4843,209616,29,87132948,87342564
ABCB10,23211,23456,1,-,1,3844,42113,13,229652329,229694442
ABCB11,8578,8647,2,-,1,4747,108384,28,169779449,169887833
ABCB4,5212,5244,7,-,3,3939,73658,28,87031361,87105019
ABCB5,109832,340273,7,+,4,3298,64946,12,20686966,20751912
ABCB6,9913,10058,2,-,1,2999,9224,19,220074488,220083712
ABCB7,19,22,X,-,1,2371,103027,16,74273105,74376132
ABCB8,11034,11194,7,+,1,4667,19359,16,150725510,150744869
ABCB9,23212,23457,12,-,3,3518,37517,12,123413539,123451056
ABCC1,4337,4363,16,+,5,6356,193496,30,16043434,16236930
ABCC10,59781,89845,6,+,2,5037,20772,21,43397390,43418163
ABCC11,59507,85320,16,-,3,4546,68266,29,48200822,48269088
ABCC12,60804,94160,16,-,1,5139,63797,29,48116884,48180681
ABCC13,80841,150000,21,+,2,1812,22579,6,15646120,15668699
ABCC2,1235,1244,10,+,1,5019,69199,32,101542463,101611662
ABCC3,8643,8714,17,+,2,3504,44958,22,48712218,48757176
ABCC4,10111,10257,13,-,2,4427,243633,26,95710054,95953687
ABCC5,9912,10057,3,-,2,3890,66094,18,183669632,183735727
ABCC6,365,368,16,-,2,2901,38095,16,16279233,16317328
ABCC6P1,182256,653190,16,+,1,2714,27037,10,18582570,18609607
ABCC6P2,169101,730013,16,-,1,704,2270,2,14916289,14918559
ABCC8,6793,6833,11,-,1,4939,84017,39,17414432,17498449
ABCC9,9915,10060,12,-,3,4632,131520,38,21958108,22089628
ABCD1,212,215,X,+,1,3654,19893,10,152990323,153010216
ABCD2,222,225,12,-,1,5331,68821,10,39945022,40013843
ABCD3,5793,5825,1,+,2,2276,80306,16,94883933,94964240
ABCD4,5794,5826,14,-,2,3074,17787,18,74751980,74769767
ABCE1,6027,6059,4,+,2,4174,31520,18,146019156,146050676
ABCF1,20,23,6,+,2,3382,20139,24,30539170,30559309
ABCF2,9916,10061,7,-,2,2883,17068,16,150907250,150924317
ABCF3,34613,55324,3,+,1,2551,7932,21,183903863,183911795
ABCG1,9475,9619,21,+,6,2962,79627,15,43637727,43717354
ABCG2,9293,9429,4,-,1,4415,68595,16,89011416,89080011
ABCG4,40770,64137,11,+,2,3708,13350,15,119020024,119033374
ABCG5,40871,64240,2,-,1,2727,26347,13,44039611,44065958
ABCG8,40872,64241,2,+,1,2652,39502,13,44066103,44105605
ABHD1,58894,84696,2,+,1,1437,7023,9,27346657,27353680
ABHD10,34636,55347,3,+,1,2639,14382,5,111697828,111712210
ABHD11,57695,83451,7,-,5,1456,2757,6,73150427,73153184
ABHD12,25839,26090,20,-,2,1762,93362,13,25278114,25371477
ABHD12B,80438,145447,14,+,2,1517,32810,12,51338878,51371688
ABHD13,59135,84945,13,+,1,5300,15840,2,108870763,108886603
ABHD14A,25613,25864,3,+,1,1103,6174,5,52009042,52015216
ABHD14A-ACY1,157124199,100526760,3,+,1,1862,14176,17,52009042,52023218
ABHD14B,59026,84836,3,-,3,2239,6120,4,52002526,52008646
ABHD15,77755,116236,17,-,1,3353,6353,2,27887689,27894042
ABHD16A,NA,NA,6,-,4,2064,16268,19,31654726,31670994
ABHD16B,NA,NA,20,+,1,1775,1775,1,62492566,62494341
ABHD2,10899,11057,15,+,2,8921,114210,13,89631381,89745591
ABHD3,82725,171586,18,-,1,2055,53908,9,19230858,19284766
ABHD4,40517,63874,14,+,1,2502,14118,7,23067147,23081265
ABHD5,30581,51099,3,+,1,5346,31842,7,43732375,43764217
ABHD6,36680,57406,3,+,1,2384,57202,9,58223259,58280461
ABHD8,55378,79575,19,-,1,2085,11342,5,17402940,17414282
ABI1,9862,10006,10,-,12,3546,114491,10,27035525,27150016
ABI2,10007,10152,2,+,1,6470,103889,10,204193003,204296892
ABI3,30707,51225,17,+,2,2092,12998,8,47287589,47300587
ABI3BP,25639,25890,3,-,1,4438,244155,35,100468179,100712334
ABL1,22,25,9,+,2,5624,113012,11,133650050,133763062
ABL2,24,27,1,-,8,11874,124730,12,179068462,179198819
ABLIM1,3958,3983,10,-,4,7576,240367,22,116190869,116431236
ABLIM2,58649,84448,4,-,7,3485,193522,18,7967037,8160559
ABLIM3,22641,22885,5,+,1,4311,118945,24,148521054,148639999
ABO,25,28,9,-,1,1572,20067,7,136130563,136150630
ABP1,23,26,7,+,1,2423,8806,5,150549573,150558379
ABR,26,29,17,-,3,5228,176372,23,906759,1083131
ABRA,79707,137735,8,-,1,2752,10761,2,107771711,107782472
ABT1,29512,29777,6,+,1,2251,3097,3,26597180,26600277
ABTB1,56126,80325,3,+,3,1964,7988,12,127391781,127399769
ABTB2,25590,25841,11,-,1,4886,207021,17,34172534,34379555
ACAA1,27,30,3,-,3,1807,14532,10,38164201,38178733
ACAA2,10302,10449,18,-,1,1924,30377,10,47309874,47340251
ACACA,28,31,17,-,5,9682,274132,56,35441927,35716059
ACACB,29,32,12,+,1,9197,128828,52,109577202,109706030
ACAD10,56498,80724,12,+,2,4039,71054,22,112123857,112194911
ACAD11,58340,84129,3,-,1,3536,101993,20,132276982,132378975
ACAD8,26779,27034,11,+,1,2190,12312,11,134123434,134135746
ACAD9,28712,28976,3,+,2,2645,33624,18,128598333,128631957
ACADL,30,33,2,-,1,2479,37499,11,211052716,211090215
ACADM,31,34,1,+,2,2597,39312,12,76190043,76229355
ACADS,32,35,12,+,1,1907,14240,10,121163571,121177811
ACADSB,33,36,10,+,1,5930,49377,11,124768429,124817806
ACADVL,34,37,17,+,2,2236,5432,20,7123153,7128585
ACAN,173,176,15,+,2,8674,71911,17,89346674,89418585
ACAP1,9600,9744,17,+,1,2486,14945,22,7239848,7254793
ACAP2,23282,23527,3,-,1,7147,168352,23,194995465,195163817
ACAP3,78288,116983,1,-,1,3735,15505,24,1227764,1243269
ACAT1,35,38,11,+,1,2122,26633,12,107992258,108018891
ACAT2,36,39,6,+,1,1542,17098,9,160182989,160200087
ACBD3,41321,64746,1,-,1,3557,42043,8,226332380,226374423
ACBD4,55580,79777,17,+,5,1895,8529,10,43213014,43221543
ACBD5,60051,91452,10,-,3,3847,46925,13,27484143,27531068
ACBD6,58530,84320,1,-,1,1608,214670,8,180257352,180472022
ACBD7,128527,414149,10,-,1,3366,13301,4,15117474,15130775
ACCN1,37,40,17,-,2,3056,711810,10,31340106,32051916
ACCN2,38,41,12,+,2,3835,25907,12,50451487,50477394
ACCN3,9177,9311,7,+,3,2057,4238,11,150745605,150749843
ACCN4,34804,55515,2,+,2,2863,24602,10,220378892,220403494
ACCN5,31282,51802,4,-,1,1682,36544,10,156750881,156787425
ACCS,58878,84680,11,+,2,2010,17798,15,44087770,44105569
ACCSL,123719,390110,11,+,1,1806,11996,14,44069531,44081527
ACD,41581,65057,16,-,3,2045,3303,12,67691415,67694718
ACE,1624,1636,17,+,3,3250,13563,14,61562178,61575741
ACE2,37696,59272,X,-,1,3488,41036,19,15579156,15620192
ACER1,79092,125981,19,-,1,1082,27130,6,6306510,6333640
ACER2,109860,340485,9,+,1,2846,43575,6,19408925,19452500
ACER3,34620,55331,11,+,1,4376,162933,11,76571917,76734850
ACHE,40,43,7,-,2,2576,5926,5,100487615,100493541
ACIN1,22740,22985,14,-,5,4799,37049,18,23527774,23564823
ACLY,44,47,17,-,2,4310,52093,28,40023179,40075272
ACMSD,79400,130013,2,+,1,1240,63416,10,135596186,135659602
ACN9,36280,57001,7,+,1,2055,65170,2,96745905,96811075
ACO1,45,48,9,+,1,3527,66231,21,32384601,32450832
ACO2,47,50,22,+,1,2723,59864,18,41865129,41924993
ACOT1,165222,641371,14,+,1,1600,6570,3,74003928,74010498
ACOT11,25776,26027,1,+,2,2582,74404,16,55013807,55088211
ACOT12,79608,134526,5,-,1,1974,64041,15,80625947,80689988
ACOT13,35144,55856,6,+,2,4245,38032,4,24667263,24705295
ACOT2,10807,10965,14,+,1,1764,6587,3,74035772,74042359
ACOT4,78933,122970,14,+,1,1629,4060,3,74058410,74062470
ACOT6,165178,641372,14,+,1,1002,3044,2,74083548,74086592
ACOT7,11167,11332,1,-,4,1518,108992,9,6324332,6433324
ACOT8,9861,10005,20,-,1,1165,15688,6,44470360,44486048
ACOT9,23351,23597,X,-,2,1698,39630,16,23721777,23761407
ACOX1,48,51,17,-,3,7570,37926,14,73937589,73975515
ACOX2,8251,8309,3,-,1,2294,32066,15,58490863,58522929
ACOX3,8252,8310,4,-,2,2822,74443,18,8368009,8442452
ACOXL,34578,55289,2,+,1,2355,385649,18,111490150,111875799
ACP1,49,52,2,+,4,1545,13413,6,264869,278282
ACP2,50,53,11,-,2,1459,6496,8,47263962,47270457
ACP5,51,54,19,-,4,1577,4222,6,11685475,11689696
ACP6,30687,51205,1,-,1,1798,23466,10,147119168,147142634
ACPL2,60176,92370,3,+,2,3087,62804,7,140950682,141013486
ACPP,52,55,3,+,2,2512,46207,10,132036211,132082418
ACPT,60304,93650,19,+,1,1336,4809,11,51293672,51298481
ACR,46,49,22,+,1,1365,7075,5,51176652,51183727
ACRBP,58720,84519,12,-,1,1876,9338,10,6747242,6756580
ACRC,60601,93953,X,+,1,3165,35559,13,70797874,70833433
ACRV1,53,56,11,-,9,1005,8713,4,125542229,125550942
ACSBG1,22960,23205,15,-,2,2960,63862,14,78463187,78527049
ACSBG2,57298,81616,19,+,1,2697,57402,15,6135710,6193112
ACSF2,56022,80221,17,+,1,2223,48681,16,48503519,48552200
ACSF3,83470,197322,16,+,3,2274,60743,10,89160254,89220997
ACSL1,2165,2180,4,-,1,3784,70466,21,185676749,185747215
ACSL3,2166,2181,2,+,2,4291,82387,16,223725732,223808119
ACSL4,2167,2182,X,-,2,5162,92057,16,108884564,108976621
ACSL5,31183,51703,10,+,3,3333,53115,21,114135023,114188138
ACSL6,23060,23305,5,-,2,3026,58197,21,131289152,131347349
ACSM1,77760,116285,16,-,1,2038,68019,13,20634559,20702578
ACSM2A,78967,123876,16,+,1,2949,36132,15,20462859,20498991
ACSM2B,NA,NA,16,-,2,2409,39612,14,20548083,20587695
ACSM3,6262,6296,16,+,2,1840,27746,12,20775312,20803058
ACSM4,109941,341392,12,+,1,1730,24041,13,7456928,7480969
ACSM5,34277,54988,16,+,1,2405,31425,14,20420856,20452281
ACSS1,58733,84532,20,-,1,4459,52743,14,24986873,25039616
ACSS2,35189,55902,20,+,3,2961,51441,18,33464328,33515769
ACSS3,55414,79611,12,+,1,3017,177773,16,81471809,81649582
ACTA1,55,58,1,-,1,1485,2850,7,229566993,229569843
ACTA2,56,59,10,-,2,1570,37032,9,90694831,90731864
ACTB,57,60,7,-,1,1806,3453,6,5566779,5570232
ACTBL2,110184,345651,5,-,1,2793,2793,1,56775843,56778636
ACTC1,67,70,15,-,1,3686,7630,7,35080297,35087927
ACTG1,68,71,17,-,3,1980,2895,6,79476997,79479892
ACTG2,69,72,2,+,2,1258,26687,8,74120093,74146780
ACTL6A,83,86,3,+,3,1844,25485,14,179280708,179306193
ACTL6B,30893,51412,7,-,1,1517,13358,14,100240726,100254084
ACTL7A,10723,10881,9,+,1,1432,1432,1,111624603,111626035
ACTL7B,10722,10880,9,-,1,1406,1406,1,111616869,111618275
ACTL8,57271,81569,1,+,1,1858,71750,3,18081808,18153558
ACTL9,94282,284382,19,-,1,1421,1421,1,8807751,8809172
ACTN1,84,87,14,-,3,3704,105243,21,69340840,69446083
ACTN2,85,88,1,+,1,4507,77788,21,236849770,236927558
ACTN3,86,89,11,+,1,2836,16406,21,66314391,66330797
ACTN4,78,81,19,+,1,3933,82904,21,39138267,39221171
ACTR10,35148,55860,14,+,1,2428,35520,13,58666833,58702353
ACTR1A,9976,10121,10,-,1,2862,23526,11,104238986,104262512
ACTR1B,9975,10120,2,-,1,2247,8159,11,98272402,98280561
ACTR2,9952,10097,2,+,2,3920,43561,10,65454829,65498390
ACTR3,9951,10096,2,+,1,2700,68630,12,114647537,114716167
ACTR3B,36456,57180,7,+,2,2083,95612,11,152456851,152552463
ACTR3BP2,134022,440888,2,+,1,1337,1337,1,92129159,92130496
ACTR3C,NA,NA,7,-,2,1242,66112,8,149944301,150010414
ACTR5,55715,79913,20,+,1,2470,23992,9,37377097,37401089
ACTR6,41029,64431,12,+,1,1744,23627,11,100594574,100618201
ACTR8,60621,93973,3,-,1,3615,15135,13,53901094,53916229
ACTRT1,79828,139741,X,-,1,1441,1441,1,127184941,127186382
ACTRT2,79984,140625,1,+,1,1421,1421,1,2938046,2939467
ACVR1,87,90,2,-,2,2944,139040,11,158592958,158731998
ACVR1B,88,91,12,+,3,4555,45412,9,52345451,52390863
ACVR1C,79417,130399,2,-,4,8690,102120,8,158383279,158485399
ACVR2A,89,92,2,+,1,5233,85823,11,148602570,148688393
ACVR2B,90,93,3,+,1,11362,38843,11,38495790,38534633
ACVRL1,91,94,12,+,2,4185,13488,10,52303658,52317145
ACY1,92,95,3,+,5,1559,5918,14,52017300,52023218
ACY3,60088,91703,11,-,1,1292,8104,8,67410026,67418130
ACYP1,94,97,14,-,2,643,10808,4,75519928,75530736
ACYP2,95,98,2,+,1,1218,190025,4,54342410,54532435
ADA,97,100,20,-,1,1520,32213,12,43248163,43280376
ADAD1,79522,132612,4,+,3,1990,50352,12,123300595,123350947
ADAD2,81531,161931,16,+,2,2170,6049,10,84224723,84230772
ADAL,81526,161823,15,+,2,2554,20984,11,43622872,43643856
ADAM1,8687,8759,12,+,1,2839,2839,1,112336867,112339706
ADAM10,99,102,15,-,1,3911,153667,16,58888510,59042177
ADAM11,4160,4185,17,+,1,4375,22646,27,42836568,42859214
ADAM12,7989,8038,10,-,2,4732,360720,21,127716408,128077127
ADAM15,8679,8751,1,+,6,2872,11490,22,155023762,155035252
ADAM17,6828,6868,2,-,1,3534,66506,19,9629411,9695917
ADAM18,8677,8749,8,+,2,1910,86252,13,39442087,39528338
ADAM19,8657,8728,5,-,1,6458,98471,23,156904312,157002783
ADAM2,2499,2515,8,-,1,2621,94524,21,39601255,39695779
ADAM20,8676,8748,14,-,1,2790,12654,2,70989078,71001732
ADAM21,8675,8747,14,+,1,2405,2405,1,70924217,70926622
ADAM21P1,NA,NA,14,-,1,2048,2048,1,70712470,70714518
ADAM22,32934,53616,7,+,5,9196,268638,30,87563566,87832204
