Source Name	Comment[ENA_SAMPLE]	Material Type	Characteristics[organism part]	Characteristics[organism]	Characteristics[sex]	Characteristics[developmental stage]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_LAYOUT]	Comment[ORIENTATION]	Comment[NOMINAL_LENGTH]	Protocol REF	Term Source REF	Performer	Assay Name	Technology Type	Comment[technical replicate group]	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[MD5]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[organism part]
colon_8a	ERS526279	organism part	colon	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	colon_8a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	200	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	colon_8a	sequencing assay	group 96	ERX537316	3_140328_AC3TDEACXX_P973_106_1.fastq.gz	3_140328_AC3TDEACXX_P973_106_1.fastq.gz	ERR579148	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579148/ERR579148_1.fastq.gz	463d2a5e8a77d6d602717074d918a804	202	102	colon
colon_8a	ERS526279	organism part	colon	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	colon_8a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	200	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	colon_8a	sequencing assay	group 96	ERX537316	3_140328_AC3TDEACXX_P973_106_2.fastq.gz	3_140328_AC3TDEACXX_P973_106_2.fastq.gz	ERR579148	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579148/ERR579148_2.fastq.gz	4402c73454367ce79d801cae4d8a0194	202	102	colon
colon_8b	ERS526284	organism part	colon	Homo sapiens	male	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	colon_8b	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	205	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	colon_8b	sequencing assay	group 97	ERX537321	4_140328_AC3TDEACXX_P973_107_1.fastq.gz	4_140328_AC3TDEACXX_P973_107_1.fastq.gz	ERR579129	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579129/ERR579129_1.fastq.gz	d321dba62b7ff9e04c38056be77e924f	202	102	colon
colon_8b	ERS526284	organism part	colon	Homo sapiens	male	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	colon_8b	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	205	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	colon_8b	sequencing assay	group 97	ERX537321	4_140328_AC3TDEACXX_P973_107_2.fastq.gz	4_140328_AC3TDEACXX_P973_107_2.fastq.gz	ERR579129	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579129/ERR579129_2.fastq.gz	bf1f36c9002d189660761d2cba67c510	202	102	colon
endometrium_8a	ERS526292	organism part	endometrium	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	endometrium_8a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	299	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	endometrium_8a	sequencing assay	group 98	ERX537329	2_140328_AC3TDEACXX_P973_104_1.fastq.gz	2_140328_AC3TDEACXX_P973_104_1.fastq.gz	ERR579123	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579123/ERR579123_1.fastq.gz	dd4fc329c68803ee16b519b82eb79583	202	102	endometrium
endometrium_8a	ERS526292	organism part	endometrium	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	endometrium_8a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	299	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	endometrium_8a	sequencing assay	group 98	ERX537329	2_140328_AC3TDEACXX_P973_104_2.fastq.gz	2_140328_AC3TDEACXX_P973_104_2.fastq.gz	ERR579123	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579123/ERR579123_2.fastq.gz	6a295525ce598b606e28e8c85d480eed	202	102	endometrium
endometrium_8b	ERS526273	organism part	endometrium	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	endometrium_8b	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	216	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	endometrium_8b	sequencing assay	group 99	ERX537310	4_140328_AC3TDEACXX_P973_108_1.fastq.gz	4_140328_AC3TDEACXX_P973_108_1.fastq.gz	ERR579138	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579138/ERR579138_1.fastq.gz	1ef97a77d57573a555f40f8fc824835d	202	102	endometrium
endometrium_8b	ERS526273	organism part	endometrium	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	endometrium_8b	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	216	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	endometrium_8b	sequencing assay	group 99	ERX537310	4_140328_AC3TDEACXX_P973_108_2.fastq.gz	4_140328_AC3TDEACXX_P973_108_2.fastq.gz	ERR579138	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579138/ERR579138_2.fastq.gz	3fb23db2a6852e5cf6ee3288b8d01fa5	202	102	endometrium
fallopiantube_5a	ERS526268	organism part	fallopian tube	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fallopiantube_5a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	354	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fallopiantube_5a	sequencing assay	group 100	ERX537305	1_130301_AH0CDFADXX_P414_120_index4_1.fastq.gz	1_130301_AH0CDFADXX_P414_120_index4_1.fastq.gz	ERR579128	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579128/ERR579128_1.fastq.gz	865fd52d8f217f1def1549e6546a7095	202	102	fallopian tube
fallopiantube_5a	ERS526268	organism part	fallopian tube	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fallopiantube_5a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	354	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fallopiantube_5a	sequencing assay	group 100	ERX537305	1_130301_AH0CDFADXX_P414_120_index4_2.fastq.gz	1_130301_AH0CDFADXX_P414_120_index4_2.fastq.gz	ERR579128	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579128/ERR579128_2.fastq.gz	7eb6fe168dee7bb27bc7988f39c31991	202	102	fallopian tube
fallopiantube_5a	ERS526268	organism part	fallopian tube	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fallopiantube_5a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	354	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fallopiantube_5a	sequencing assay	group 100	ERX537305	2_130301_AH0CDFADXX_P414_120_index4_1.fastq.gz	2_130301_AH0CDFADXX_P414_120_index4_1.fastq.gz	ERR579155	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579155/ERR579155_1.fastq.gz	86616350d1157cb1b3cbc22c80f5c669	202	102	fallopian tube
fallopiantube_5a	ERS526268	organism part	fallopian tube	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fallopiantube_5a	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	354	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fallopiantube_5a	sequencing assay	group 100	ERX537305	2_130301_AH0CDFADXX_P414_120_index4_2.fastq.gz	2_130301_AH0CDFADXX_P414_120_index4_2.fastq.gz	ERR579155	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579155/ERR579155_2.fastq.gz	04f5c0386b4fd22be0b944611c48d067	202	102	fallopian tube
fallopiantube_8b	ERS526289	organism part	fallopian tube	Homo sapiens	female	adult	  	  	P-MTAB-40602	  	P-MTAB-40601	  	fallopiantube_8b	cDNA	TRANSCRIPTOMIC	RNA-Seq	PAIRED	5'-3'-3'-5	211	P-MTAB-40600	  	Science for Life Laboratory, Stockholm	fallopiantube_8b	sequencing assay	group 101	ERX537326	2_140328_AC3TDEACXX_P973_111_1.fastq.gz	2_140328_AC3TDEACXX_P973_111_1.fastq.gz	ERR579150	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR579/ERR579150/ERR579150_1.fastq.gz	9d0ec16588840482b7298ef6053832f5	202	102	fallopian tube
