tumor_id,tumor_name,block_name,specimen_name,rna_well,rna_integrity_number,structure_id,structure_acronym,structure_name,rnaseq_total_reads,rnaseq_percent_reads_aligned_to_mrna,rnaseq_percent_reads_aligned_to_ncrna,rnaseq_percent_reads_aligned_to_genome_only,files_contents,bam_download_link,bai_download_link
705803,W9-1-1,W9-1-1-C.2,W9-1-1-C.2.04,306124450,7,309780870,CTpan-PROM1,"Pseudopalisading cells around necrosis sampled by high expression of gene PROM1",35478234,41,3.28,11.4,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312931855,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312931857
703493,W2-1-1,W2-1-1-N.1,W2-1-1-N.1.01,300629372,7.9,298764274,LE-reference-histology,"Leading Edge sampled by reference histology",150821378,44.8,2.13,10.4,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312929325,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312929323
711560,W32-1-1,W32-1-1-B,W32-1-1-B.01,304950294,5.8,309780846,CTpan-reference-histology,"Pseudopalisading cells around necrosis sampled by reference histology",27889884,34,3.14,14,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312929077,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312929079
268091649,W53-1-1,W53-1-1-E,W53-1-1-E.03,306124416,8.3,309780896,CThbv-POSTN,"Hyperplastic blood vessels in cellular tumor sampled by high expression of gene POSTN",37914677,39.9,2.79,12.2,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312930614,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312930616
712625,W38-1-1,W38-1-1-I,W38-1-1-I.03,306124482,7.2,309780834,CTpnz-PROM1,"Perinecrotic zone sampled by high expression of gene PROM1",55142745,49.4,3.43,10.9,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934567,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312934569
711547,W31-1-1,W31-1-1-F,W31-1-1-F.03,301287698,5.2,309780592,CT-reference-histology,"Cellular Tumor sampled by reference histology",21393113,22.1,4.29,23.4,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312925016,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312925018
710659,W28-1-1,W28-1-1-N,W28-1-1-N.03,306124408,8,309780608,CT-HIF1A,"Cellular Tumor sampled by high expression of gene HIF1A",34533595,50.4,2.53,8.4,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312930678,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312930680
711645,W34-1-1,W34-1-1-D,W34-1-1-D.03,305273034,8.8,309780624,CT-NOS2,"Cellular Tumor sampled by high expression of gene NOS2",41962327,32.8,1.89,11.8,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312918246,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312918248
703393,W1-1-2,W1-1-2-N.1,W1-1-2-N.1.01,300629386,5.6,298764274,LE-reference-histology,"Leading Edge sampled by reference histology",45326556,29.1,2.13,12.5,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312920632,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312920634
277805915,W20-2-1,W20-2-1-L,W20-2-1-L.03,304950405,8.2,309780760,CT-control-POSTN,"Cellular Tumor sampled by low expression of gene POSTN",33570816,46.8,2.8,6.31,Aligned RNAseq reads as bam and bam-index files,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312912009,http://glioblastoma.alleninstitute.org/api/v2/well_known_file_download/312912011
