structure_id,well_id,structure_acronym,structure_name
10368,127408509,"BL","basolateral nucleus (basal nucleus)"
11391,127399761,"ELR","laterorostral part of entorhinal cortex"
10398,113222060,"MD","mediodorsal nucleus of thalamus"
13100,127408489,"tCP36o","outer CP in (rostral) midinferior temporal cortex (area 36)"
10494,113222050,"LHAtub","lateral hypothalamic area, tuberal part"
10485,113222046,"DMH","dorsomedial hypothalamic nucleus"
10417,113222032,"VA","ventral anterior nucleus of thalamus"
10488,113222030,"VMH","ventromedial hypothalamic nucleus"
10395,113222028,"AV","anteroventral nucleus of thalamus"
10394,113222026,"AM","anteromedial nucleus of thalamus"
13045,113222020,"MiN","midline nuclear complex"
11931,113222016,"pSZs1i","inner SZ in primary somatosensory cortex"
11873,113222002,"iIZgr","IZ in granular insular cortex"
11822,113222000,"pIZs1","IZ in primary somatosensory cortex"
11785,113221998,"iSPgr","SP in granular insular cortex"
11766,113221996,"pSPs1","SP in primary somatosensory cortex"
11734,113221994,"iCPgri","inner CP in granular insular cortex"
11733,113221992,"iCPgro","outer CP in granular insular cortex"
11712,113221990,"tCPtp","CP in temporal polar cortex"
11680,113221977,"pCPs1o","outer CP in primary somatosensory cortex"
11549,113221975,"GPip","peripheral portion of GPi"
11538,113221973,"PuC","caudal putamen"
12239,127401212,"MRF","midbrain reticular formation"
10413,127401208,"Puli","inferior nucleus of pulvinar"
12006,127402901,"tVZph","VZ in posterior parahippocampal cortex"
11705,127402590,"tCPphi","inner CP in posterior parahippocampal cortex"
10412,127401084,"Pull","lateral nucleus of pulvinar"
13182,127402582,"tVZml","VZ in midlateral temporal cortex"
13162,127402580,"tSZmli","inner SZ in midlateral temporal cortex"
13160,127402578,"tSZmlo","outer SZ in midlateral temporal cortex"
13113,127401377,"tSPml","SP in midlateral temporal cortex"
13098,127401375,"tCPml","CP in midlateral temporal cortex"
12259,127401369,"SNR","substantia nigra, reticular part"
12247,127401365,"RN","red nucleus"
12003,127401363,"tVZsl","VZ in superolateral temporal cortex"
12000,127401202,"pVZpv","VZ in posteroinferior (ventral) parietal cortex"
11956,127424205,"tSZsli","inner SZ in superolateral temporal cortex"
11941,127401200,"pSZpvi","inner SZ in posteroinferior (ventral) parietal cortex"
11934,127401335,"pSZpdo","outer SZ in posterosuperior (dorsal) parietal cortex"
11772,127401326,"tSPil","SP in inferolateral temporal cortex"
11699,127408546,"tCPili","inner CP in inferolateral temporal cortex"
11696,127401286,"tCPsli","inner CP in superolateral temporal cortex"
11687,127403718,"pCPpvi","inner CP in posteroinferior (ventral) parietal cortex"
11686,127403716,"pCPpvo","outer CP in posteroinferior (ventral) parietal cortex"
11684,127401262,"pCPpdi","inner CP in posterosuperior (dorsal) parietal cortex"
11683,127401260,"pCPpdo","outer CP in posterosuperior (dorsal) parietal cortex"
11623,127401258,"tMZil","MZ in inferolateral temporal cortex"
11284,127401246,"CA1Cso","stratum oriens of caudal CA1"
11283,127402977,"CA1Csp","stratum pyramidale of caudal CA1"
10456,127408526,"MHN","medial habenular nucleus"
10453,127408524,"LHN","lateral habenular nucleus"
10449,127408520,"CM","centromedian nucleus of thalamus"
10337,127408518,"CaT","tail of caudate"
13118,127407622,"SPhipc","SP in caudal hippocampal proper"
11946,127407523,"pSZdmi","inner SZ in dorsomedial parietal cortex (area 7m)"
11831,127407517,"pIZdm","IZ in dorsomedial parietal cortex (area 7m)"
11740,127407509,"CPsubc","CP in caudal subicular cortex"
11724,127407494,"cCPci","inner CP in caudal cingulate cortex"
11723,127407492,"cCPco","outer CP in caudal cingulate cortex"
12643,127408485,"ROb","raphe obscurus nucleus"
12634,127408483,"LRt","lateral reticular nucleus (principal part)"
12623,127407831,"RVRG","rostral ventral respiratory cell group"
12571,127407827,"PSol","parasolitary nucleus"
12557,127407825,"Sol","solitary nucleus"
12390,127407819,"CBL","lateral hemisphere of cerebellum"
12384,127407817,"CBPV","paravermis of cerebellum"
12581,127407462,"MVe","medial vestibular nucleus"
12808,127408548,"Cho4V","choroid plexus of the fourth ventricle"
12572,127407441,"Sp5","spinal trigeminal nucleus"
10665,127407439,"URL","upper (rostral) rhombic lip"
12724,127407437,"CEMS","caudal (posterior) extramural migratory stream"
12610,127407435,"IOPr","inferior olive, principal nucleus"
12605,127407433,"IOM","inferior olive, medial nucleus"
12702,127407391,"EGLU","external granular (germinal) layer of upper rhombic lip"
12396,127407389,"DT","dentate (lateral) nucleus"
12008,127407387,"tVZlt","VZ in lateral temporal-occipital cortex"
11976,127407379,"tSZmti","inner SZ in medial temporal-occipital cortex"
11852,127407375,"tIZlt","IZ in lateral temporal-occipital cortex"
11776,127407360,"tSPlt","SP in lateral temporal-occipital cortex"
11710,127407354,"tCPlto","outer CP in lateral temporal-occipital cortex"
11708,127407352,"tCPmti","inner CP in medial temporal-occipital cortex"
11627,127407348,"tMZlt","MZ in lateral temporal-occipital cortex"
11626,127407346,"tMZmt","MZ in medial temporal-occipital cortex"
12305,127408960,"IC","inferior colliculus"
12482,127408952,"LPB","lateral parabrachial nucleus"
12470,127408950,"MSO","medial superior olive"
12497,127404186,"RtTg","reticulotegmental nucleus"
11916,127404178,"oSZdmi","inner SZ in dorsomedial extrastriate cortex"
11914,127404176,"oSZdmo","outer SZ in dorsomedial extrastriate cortex"
11909,127404172,"oSZv1o","outer SZ in primary visual cortex"
11763,127408932,"oSPdm","SP in dorsomedial extrastriate cortex (V2)"
11762,127408930,"oSPv1","SP in primary visual cortex"
11669,127408924,"oCPv1i","inner CP in primary visual cortex"
11997,127403456,"oVZml","VZ in midlateral extrastriate cortex (area 19)"
11996,127403454,"oVZvm","VZ in ventromedial extrastriate cortex (VP)"
11921,127403448,"oSZvmi","inner SZ in ventromedial extrastriate cortex"
11678,127424254,"oCPmli","inner CP in midlateral extrastriate cortex"
11677,127424252,"oCPmlo","outer CP in midlateral extrastriate cortex"
10426,127400713,"VPI","ventral posterior inferior nucleus"
13143,127403022,"IZpcc","IZ in caudal perirhinal cortex"
10401,127400688,"MDl","multiform (lateral) division of MD"
10400,127400686,"MDm","magnocellular (medial) division of MD"
10167,113221941,"M1lm","lower limb region of M1"
13309,113221937,"MGEo","outer portion of medial ganglionic eminence"
11872,113221922,"iIZdg","IZ in dysgranular insular cortex"
11731,113221918,"iCPdgi","inner CP in dysgranular insular cortex"
11730,113221916,"iCPdgo","outer CP in dysgranular insular cortex"
11539,113221912,"Pld","laterodorsal part of putamen"
11337,113221910,"Pir3","layer III of piriform cortex"
11336,113221908,"Pir2","layer II of piriform cortex"
11335,113221894,"Pir1","layer I of piriform cortex"
10482,147800379,"LHAa","lateral hypothalamic area, anterior part"
10336,113221880,"CaB","body of caudate"
10328,113221878,"Iag","agranular insular cortex (area Iag)"
10556,113221825,"RMS","rostral migratory stream"
13307,113221784,"LGEi","inner portion of lateral ganglionic eminence"
13305,113221782,"LGEVZ","LGE-VZ border region"
12014,113221778,"cVZsg","VZ in subgenual cingulate neocortex"
12011,113221776,"cVZr","VZ in rostral cingulate neocortex"
11990,113221761,"fVZm1","VZ in posteror frontal cortex (motor cortex)"
11868,113221753,"cIZsg","IZ in subgenual (subcallosal) cingulate cortex"
11859,113221751,"cIZr","IZ in rostral cingulate cortex"
11779,113221745,"cSPr","SP in rostral cingulate cortex"
11727,113221727,"cCPsgi","inner CP in subgenual (subcallosal) cingulate cortex"
11718,113221723,"cCPri","inner CP in rostral cingulate cortex"
11657,113221719,"fCPm1i","inner CP in posteror frontal cortex (motor cortex)"
11630,113221715,"cMZr","MZ in rostral cingulate cortex"
10186,113221713,"A44","caudal portion of VFC (area 44)"
10310,113221857,"OT","olfactory tubercle"
11547,113221855,"NACsm","medial portion of the shell"
11545,113221853,"NACsl","lateral portion of the shell"
10340,113221851,"NACc","core of nucleus accumbens"
10354,113221849,"NDB","nucleus of diagonal band"
10551,113221821,"LGE","lateral ganglionic eminence"
10550,113221819,"MGE","medial ganglionic eminence"
10351,113221815,"MSN","medial septal nucleus"
10164,113221809,"M1hf","head and face region of M1"
11896,13355,"fSZdlo","outer SZ in dorsolateral prefrontal cortex"
11759,13367,"fSPdl","SP in dorsolateral prefrontal cortex"
11660,13366,"fCPdli","inner CP in dorsolateral prefrontal cortex"
11659,13365,"fCPdlo","outer CP in dorsolateral prefrontal cortex"
11650,13363,"fCPdmo","outer CP in dorsomedial frontal cortex"
10175,13362,"A8ld","laterodorsal subdivision of area 8"
10205,13392,"OFCl","lateral orbital frontal cortex (area 12/47)"
11989,13391,"fVZor","VZ in orbital frontal cortex"
11886,13389,"fSZoro","outer SZ in orbital frontal cortex"
11757,13387,"fSPor","SP in orbital frontal cortex"
11654,13386,"fCPori","inner CP in orbital frontal cortex"
11653,13385,"fCPoro","outer CP in orbital frontal cortex"
10168,13384,"PMC","premotor cortex (area 6)"
10280,13379,"A32","dorsorostral division of MFC (area 32)"
11663,13372,"fCPvli","inner CP in ventrolateral prefrontal cortex"
11611,13370,"fMZvl","MZ in ventrolateral prefrontal cortex"
10191,13344,"A10m","medial subdivision of area 10"
11666,13345,"fCPfpi","inner CP in frontal polar cortex"
