source	source_desc	source_id	target	target_desc	target_id	weight
GeneSym	UniProtACC	GeneID	GO Phrase	GO	NA	weight
SHTN1	A0MZ66	57698	extracellular space	GO:0014704	na	1.0
SNRPGP15	A8MWD9	100130932	plasma membrane	GO:0014704	na	1.0
MYO1C	O00159	4641	external side of plasma membrane	GO:0014704	na	1.0
SNAP23	O00161	8773	blood microparticle	GO:0014704	na	1.0
PSMD12	O00232	5718	intracellular	GO:0014704	na	1.0
HIP1	O00291	3092	cytoplasm	GO:0014704	na	1.0
QSOX1	O00391	5768	mitochondrion	GO:0014704	na	1.0
DNM1L	O00429	10059	centrosome	GO:0014704	na	1.0
BIN1	O00499	274	late endosome membrane	GO:0014704	na	1.0
SDCBP	O00560	6386	cilium	GO:0014704	na	1.0
PODXL	O00592	5420	endoplasmic reticulum	GO:0014704	na	1.0
DYNC1I1	O14576	1780	endoplasmic reticulum membrane	GO:0014704	na	1.0
TOR1A	O14656	1861	nucleus	GO:0014704	na	1.0
STX16	O14662	8675	nucleoplasm	GO:0014704	na	1.0
ADAM10	O14672	102	nucleolus	GO:0014704	na	1.0
ITGB1BP1	O14713	9270	cytosol	GO:0014704	na	1.0
SLC9A3R1	O14745	9368	integral component of plasma membrane	GO:0014704	na	1.0
CHEK1	O14757	1111	extrinsic component of cytoplasmic side of plasma membrane	GO:0014704	na	1.0
NRP1	O14786	8829	nuclear body	GO:0014704	na	1.0
CASK	O14936	8573	microtubule cytoskeleton	GO:0014704	na	1.0
AURKA	O14965	6790	lamellipodium	GO:0014704	na	1.0
RAB29	O14966	8934	filopodium	GO:0014704	na	1.0
PPP1R12A	O14974	4659	axon	GO:0014704	na	1.0
XPO1	O14980	7514	growth cone	GO:0014704	na	1.0
CEP290	O15078	80184	perikaryon	GO:0014704	na	1.0
STX7	O15400	8417	perinuclear region of cytoplasm	GO:0014704	na	1.0
YKT6	O15498	10652	extracellular exosome	GO:0014704	na	1.0
HTRA2	O43464	27429	Golgi membrane	GO:0014704	na	1.0
PROM1	O43490	8842	Golgi apparatus	GO:0014704	na	1.0
RAD51C	O43502	5889	integral component of membrane	GO:0014704	na	1.0
XRCC3	O43542	7517	cell periphery	GO:0014704	na	1.0
RGS14	O43566	10636	extracellular matrix	GO:0014704	na	1.0
ACTN4	O43707	81	centriole	GO:0014704	na	1.0
AP1G1	O43747	164	intracellular membrane-bounded organelle	GO:0014704	na	1.0
STX6	O43752	10228	cytoskeleton	GO:0014704	na	1.0
MYO1B	O43795	4430	sarcolemma	GO:0014704	na	1.0
PRKN	O60260	5071	Z disc	GO:0014704	na	1.0
SNX3	O60493	8724	trans-Golgi network	GO:0014704	na	1.0
JAK2	O60674	3717	basolateral plasma membrane	GO:0014704	na	1.0
NOS1AP	O75052	9722	endosome	GO:0014704	na	1.0
CLASP2	O75122	23122	spindle pole	GO:0014704	na	1.0
COBL	O75128	23242	mitotic spindle	GO:0014704	na	1.0
OBSL1	O75147	23363	stress fiber	GO:0014704	na	1.0
RAB11FIP3	O75154	9727	focal adhesion	GO:0014704	na	1.0
DNAJC13	O75165	23317	endosome membrane	GO:0014704	na	1.0
ZPR1	O75312	8882	ruffle membrane	GO:0014704	na	1.0
H2AFY	O75367	9555	lysosome	GO:0014704	na	1.0
VAMP4	O75379	8674	cell surface	GO:0014704	na	1.0
ULK1	O75385	8408	microvillus	GO:0014704	na	1.0
VPS26A	O75436	9559	nuclear envelope	GO:0014704	na	1.0
LRP6	O75581	4040	secretory granule membrane	GO:0014704	na	1.0
DYSF	O75923	8291	nuclear chromosome, telomeric region	GO:0014704	na	1.0
FLOT1	O75955	10211	ubiquitin ligase complex	GO:0014704	na	1.0
MYO1D	O94832	4642	membrane raft	GO:0014704	na	1.0
SEC31A	O94979	22872	cell cortex	GO:0014704	na	1.0
TNKS	O95271	8658	actin cytoskeleton	GO:0014704	na	1.0
SVIL	O95425	6840	early endosome	GO:0014704	na	1.0
SNAP29	O95721	9342	recycling endosome	GO:0014704	na	1.0
STAU1	O95793	6780	spindle	GO:0014704	na	1.0
BCL10	O95999	8915	midbody	GO:0014704	na	1.0
SOD1	P00441	6647	cytoplasmic vesicle	GO:0014704	na	1.0
ABL1	P00519	25	U4 snRNP	GO:0014704	na	1.0
