GO Phrase	GO	NA
plasma membrane	GO:0005816	na
external side of plasma membrane	GO:0005816	na
blood microparticle	GO:0005816	na
condensed chromosome kinetochore	GO:0005816	na
condensed nuclear chromosome, centromeric region	GO:0005816	na
cytoplasm	GO:0005816	na
mitochondrion	GO:0005816	na
centrosome	GO:0005816	na
P-body	GO:0005816	na
late endosome membrane	GO:0005816	na
cilium	GO:0005816	na
intraciliary transport particle B	GO:0005816	na
ciliary tip	GO:0005816	na
endoplasmic reticulum	GO:0005816	na
endoplasmic reticulum membrane	GO:0005816	na
nucleus	GO:0005816	na
nucleoplasm	GO:0005816	na
nucleolus	GO:0005816	na
cytosol	GO:0005816	na
integral component of plasma membrane	GO:0005816	na
extrinsic component of cytoplasmic side of plasma membrane	GO:0005816	na
nuclear body	GO:0005816	na
microtubule associated complex	GO:0005816	na
microtubule cytoskeleton	GO:0005816	na
lamellipodium	GO:0005816	na
filopodium	GO:0005816	na
axon	GO:0005816	na
growth cone	GO:0005816	na
perikaryon	GO:0005816	na
axonal growth cone	GO:0005816	na
perinuclear region of cytoplasm	GO:0005816	na
extracellular exosome	GO:0005816	na
nuclear inner membrane	GO:0005816	na
Golgi membrane	GO:0005816	na
Golgi apparatus	GO:0005816	na
integral component of membrane	GO:0005816	na
chromosome	GO:0005816	na
podosome	GO:0005816	na
centriole	GO:0005816	na
ciliary base	GO:0005816	na
intracellular membrane-bounded organelle	GO:0005816	na
cytoskeleton	GO:0005816	na
sarcoplasmic reticulum	GO:0005816	na
sarcolemma	GO:0005816	na
COP9 signalosome	GO:0005816	na
mitochondrial matrix	GO:0005816	na
muscle myosin complex	GO:0005816	na
Z disc	GO:0005816	na
M band	GO:0005816	na
trans-Golgi network	GO:0005816	na
basolateral plasma membrane	GO:0005816	na
endosome	GO:0005816	na
spindle pole	GO:0005816	na
mitotic spindle	GO:0005816	na
nuclear chromatin	GO:0005816	na
stress fiber	GO:0005816	na
focal adhesion	GO:0005816	na
filamentous actin	GO:0005816	na
integral component of endoplasmic reticulum membrane	GO:0005816	na
ESCRT I complex	GO:0005816	na
endosome membrane	GO:0005816	na
axoneme	GO:0005816	na
ciliary basal body	GO:0005816	na
cleavage furrow	GO:0005816	na
ruffle membrane	GO:0005816	na
CCR4-NOT complex	GO:0005816	na
lysosome	GO:0005816	na
Cul3-RING ubiquitin ligase complex	GO:0005816	na
nuclear pore central transport channel	GO:0005816	na
nuclear pore nuclear basket	GO:0005816	na
microvillus	GO:0005816	na
motile cilium	GO:0005816	na
nuclear envelope	GO:0005816	na
anchored component of external side of plasma membrane	GO:0005816	na
integral component of Golgi membrane	GO:0005816	na
secretory granule membrane	GO:0005816	na
fibrillar center	GO:0005816	na
Cajal body	GO:0005816	na
box C/D snoRNP complex	GO:0005816	na
small-subunit processome	GO:0005816	na
ESC/E(Z) complex	GO:0005816	na
nuclear chromosome, telomeric region	GO:0005816	na
GATOR2 complex	GO:0005816	na
ciliary transition zone	GO:0005816	na
transcription factor complex	GO:0005816	na
ubiquitin ligase complex	GO:0005816	na
membrane raft	GO:0005816	na
AMPA glutamate receptor complex	GO:0005816	na
chaperonin-containing T-complex	GO:0005816	na
mRNA cap binding complex	GO:0005816	na
proteinaceous extracellular matrix	GO:0005816	na
