GO Phrase	GO	NA
immune response	GO:0072661	na
receptor-mediated endocytosis	GO:0072661	na
complement activation	GO:0072661	na
complement activation, classical pathway	GO:0072661	na
regulation of complement activation	GO:0072661	na
Fc-epsilon receptor signaling pathway	GO:0072661	na
Fc-gamma receptor signaling pathway involved in phagocytosis	GO:0072661	na
regulation of immune response	GO:0072661	na
leukocyte migration	GO:0072661	na
phagocytosis, recognition	GO:0072661	na
phagocytosis, engulfment	GO:0072661	na
defense response to bacterium	GO:0072661	na
innate immune response	GO:0072661	na
B cell receptor signaling pathway	GO:0072661	na
positive regulation of B cell activation	GO:0072661	na
intracellular protein transport	GO:0072661	na
activation of GTPase activity	GO:0072661	na
xenobiotic metabolic process	GO:0072661	na
arachidonic acid metabolic process	GO:0072661	na
activation of protein kinase activity	GO:0072661	na
cellular response to amino acid stimulus	GO:0072661	na
smoothened signaling pathway	GO:0072661	na
cilium assembly	GO:0072661	na
protein polyubiquitination	GO:0072661	na
protein ubiquitination	GO:0072661	na
ubiquitin-dependent ERAD pathway	GO:0072661	na
negative regulation of transcription from RNA polymerase II promoter	GO:0072661	na
placenta development	GO:0072661	na
sprouting angiogenesis	GO:0072661	na
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	GO:0072661	na
positive regulation of transcription from RNA polymerase II promoter	GO:0072661	na
ubiquitin-dependent protein catabolic process	GO:0072661	na
Ras protein signal transduction	GO:0072661	na
axonogenesis	GO:0072661	na
neuron projection morphogenesis	GO:0072661	na
negative regulation of autophagy	GO:0072661	na
cellular response to amino acid starvation	GO:0072661	na
apoptotic signaling pathway	GO:0072661	na
fat cell differentiation	GO:0072661	na
regulation of small GTPase mediated signal transduction	GO:0072661	na
positive regulation of protein phosphorylation	GO:0072661	na
positive regulation of autophagy	GO:0072661	na
positive regulation of peptidyl-threonine phosphorylation	GO:0072661	na
protein destabilization	GO:0072661	na
positive regulation of peptidyl-serine phosphorylation	GO:0072661	na
regulation of protein complex assembly	GO:0072661	na
protein stabilization	GO:0072661	na
defense response to Gram-negative bacterium	GO:0072661	na
cellular response to lipopolysaccharide	GO:0072661	na
positive regulation of protein serine/threonine kinase activity	GO:0072661	na
cellular response to virus	GO:0072661	na
transcription from RNA polymerase II promoter	GO:0072661	na
positive regulation of transcription, DNA-templated	GO:0072661	na
ion transmembrane transport	GO:0072661	na
inflammatory response	GO:0072661	na
positive regulation of gene expression	GO:0072661	na
regulation of actin cytoskeleton organization	GO:0072661	na
positive regulation of GTPase activity	GO:0072661	na
cellular protein metabolic process	GO:0072661	na
oxidation-reduction process	GO:0072661	na
cell surface receptor signaling pathway	GO:0072661	na
spermatogenesis	GO:0072661	na
skeletal system development	GO:0072661	na
eye development	GO:0072661	na
heart development	GO:0072661	na
extracellular matrix disassembly	GO:0072661	na
bone development	GO:0072661	na
negative regulation of cell proliferation	GO:0072661	na
cellular response to DNA damage stimulus	GO:0072661	na
regulation of transcription, DNA-templated	GO:0072661	na
retrograde vesicle-mediated transport, Golgi to ER	GO:0072661	na
striated muscle contraction	GO:0072661	na
actin filament organization	GO:0072661	na
sarcomere organization	GO:0072661	na
endosome to lysosome transport	GO:0072661	na
membrane organization	GO:0072661	na
negative regulation of canonical Wnt signaling pathway	GO:0072661	na
G-protein coupled receptor signaling pathway	GO:0072661	na
signal transduction	GO:0072661	na
mismatch repair	GO:0072661	na
double-strand break repair	GO:0072661	na
replication fork processing	GO:0072661	na
retina homeostasis	GO:0072661	na
endosomal transport	GO:0072661	na
macroautophagy	GO:0072661	na
viral life cycle	GO:0072661	na
multivesicular body assembly	GO:0072661	na
viral budding via host ESCRT complex	GO:0072661	na
intracellular transport of virus	GO:0072661	na
determination of left/right symmetry	GO:0072661	na
MAPK cascade	GO:0072661	na
stimulatory C-type lectin receptor signaling pathway	GO:0072661	na
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	GO:0072661	na
proteolysis	GO:0072661	na
regulation of cellular amino acid metabolic process	GO:0072661	na
negative regulation of G2/M transition of mitotic cell cycle	GO:0072661	na
protein deubiquitination	GO:0072661	na
anaphase-promoting complex-dependent catabolic process	GO:0072661	na
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	GO:0072661	na
tumor necrosis factor-mediated signaling pathway	GO:0072661	na
NIK/NF-kappaB signaling	GO:0072661	na
proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0072661	na
regulation of mRNA stability	GO:0072661	na
post-translational protein modification	GO:0072661	na
T cell receptor signaling pathway	GO:0072661	na
positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	GO:0072661	na
transmembrane transport	GO:0072661	na
Wnt signaling pathway, planar cell polarity pathway	GO:0072661	na
regulation of transcription from RNA polymerase II promoter in response to hypoxia	GO:0072661	na
positive regulation of canonical Wnt signaling pathway	GO:0072661	na
negative regulation of translation	GO:0072661	na
cell-cell signaling	GO:0072661	na
nervous system development	GO:0072661	na
positive regulation of cytokine production	GO:0072661	na
cytoplasmic microtubule organization	GO:0072661	na
positive regulation of T cell proliferation	GO:0072661	na
positive regulation of T cell activation	GO:0072661	na
transcription, DNA-templated	GO:0072661	na
positive regulation of cell proliferation	GO:0072661	na
cell differentiation	GO:0072661	na
negative regulation of apoptotic process	GO:0072661	na
BMP signaling pathway	GO:0072661	na
response to lipopolysaccharide	GO:0072661	na
male gonad development	GO:0072661	na
cell-matrix adhesion	GO:0072661	na
regulation of mitotic cell cycle	GO:0072661	na
response to virus	GO:0072661	na
negative regulation of viral genome replication	GO:0072661	na
RNA export from nucleus	GO:0072661	na
protein import into nucleus	GO:0072661	na
cellular response to starvation	GO:0072661	na
negative regulation of cell cycle arrest	GO:0072661	na
negative regulation of Wnt signaling pathway	GO:0072661	na
sensory perception of sound	GO:0072661	na
regulation of alternative mRNA splicing, via spliceosome	GO:0072661	na
positive regulation of cell migration	GO:0072661	na
vesicle-mediated transport	GO:0072661	na
regulation of transcription from RNA polymerase II promoter	GO:0072661	na
neuron differentiation	GO:0072661	na
response to hypoxia	GO:0072661	na
cytoskeleton organization	GO:0072661	na
negative regulation of protein kinase activity	GO:0072661	na
cytokine-mediated signaling pathway	GO:0072661	na
negative regulation of JAK-STAT cascade	GO:0072661	na
defense response	GO:0072661	na
negative regulation of NF-kappaB transcription factor activity	GO:0072661	na
negative regulation of type I interferon production	GO:0072661	na
negative regulation of inflammatory response	GO:0072661	na
cellular response to interferon-gamma	GO:0072661	na
cellular response to interleukin-1	GO:0072661	na
cellular response to tumor necrosis factor	GO:0072661	na
positive regulation of reactive oxygen species metabolic process	GO:0072661	na
cerebral cortex development	GO:0072661	na
hormone-mediated signaling pathway	GO:0072661	na
transcription elongation from RNA polymerase II promoter	GO:0072661	na
vesicle fusion	GO:0072661	na
chaperone-mediated protein folding	GO:0072661	na
collagen catabolic process	GO:0072661	na
positive regulation of apoptotic process	GO:0072661	na
mRNA splicing, via spliceosome	GO:0072661	na
protein ubiquitination involved in ubiquitin-dependent protein catabolic process	GO:0072661	na
SMAD protein signal transduction	GO:0072661	na
cognition	GO:0072661	na
mRNA export from nucleus	GO:0072661	na
tRNA export from nucleus	GO:0072661	na
mitotic nuclear envelope disassembly	GO:0072661	na
regulation of glucose transport	GO:0072661	na
viral process	GO:0072661	na
protein sumoylation	GO:0072661	na
viral transcription	GO:0072661	na
regulation of gene silencing by miRNA	GO:0072661	na
regulation of cellular response to heat	GO:0072661	na
exocytosis	GO:0072661	na
regulation of protein ubiquitination	GO:0072661	na
retrograde transport, endosome to Golgi	GO:0072661	na
Rho protein signal transduction	GO:0072661	na
regulation of cell shape	GO:0072661	na
positive regulation of actin filament polymerization	GO:0072661	na
transport	GO:0072661	na
G2/M transition of mitotic cell cycle	GO:0072661	na
ciliary basal body docking	GO:0072661	na
chemical synaptic transmission	GO:0072661	na
positive regulation of protein ubiquitination	GO:0072661	na
interstrand cross-link repair	GO:0072661	na
adenylate cyclase-modulating G-protein coupled receptor signaling pathway	GO:0072661	na
adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway	GO:0072661	na
positive regulation of vasoconstriction	GO:0072661	na
centrosome cycle	GO:0072661	na
autophagy	GO:0072661	na
positive regulation of dendritic spine development	GO:0072661	na
actin filament bundle assembly	GO:0072661	na
apoptotic process	GO:0072661	na
cell cycle arrest	GO:0072661	na
visual perception	GO:0072661	na
muscle organ development	GO:0072661	na
translational initiation	GO:0072661	na
neutrophil degranulation	GO:0072661	na
negative regulation of transcription, DNA-templated	GO:0072661	na
positive regulation of I-kappaB kinase/NF-kappaB signaling	GO:0072661	na
mitochondrion organization	GO:0072661	na
microtubule-based movement	GO:0072661	na
regulation of protein stability	GO:0072661	na
negative regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0072661	na
defense response to virus	GO:0072661	na
mitotic spindle organization	GO:0072661	na
sister chromatid cohesion	GO:0072661	na
antigen processing and presentation of exogenous peptide antigen via MHC class II	GO:0072661	na
mitotic spindle assembly	GO:0072661	na
regulation of cell growth	GO:0072661	na
protein phosphorylation	GO:0072661	na
regulation of blood pressure	GO:0072661	na
peptidyl-serine phosphorylation	GO:0072661	na
regulation of cell migration	GO:0072661	na
intracellular signal transduction	GO:0072661	na
regulation of cell proliferation	GO:0072661	na
regulation of apoptotic process	GO:0072661	na
regulation of sequence-specific DNA binding transcription factor activity	GO:0072661	na
ossification	GO:0072661	na
release of cytochrome c from mitochondria	GO:0072661	na
positive regulation of bone mineralization	GO:0072661	na
negative regulation of neuron apoptotic process	GO:0072661	na
regulation of cytosolic calcium ion concentration	GO:0072661	na
termination of RNA polymerase II transcription	GO:0072661	na
regulation of gene expression	GO:0072661	na
mRNA 3'-end processing	GO:0072661	na
response to oxidative stress	GO:0072661	na
positive regulation of gene expression, epigenetic	GO:0072661	na
membrane fusion	GO:0072661	na
positive regulation of phosphatidylinositol 3-kinase signaling	GO:0072661	na
positive regulation of peptidyl-tyrosine phosphorylation	GO:0072661	na
positive regulation of protein kinase B signaling	GO:0072661	na
cellular response to cytokine stimulus	GO:0072661	na
regulation of mitophagy	GO:0072661	na
positive regulation of actin cytoskeleton reorganization	GO:0072661	na
positive regulation of DNA repair	GO:0072661	na
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	GO:0072661	na
muscle contraction	GO:0072661	na
regulation of heart contraction	GO:0072661	na
regulation of cardiac conduction	GO:0072661	na
positive regulation of endothelial cell proliferation	GO:0072661	na
monocyte chemotaxis	GO:0072661	na
chemotaxis	GO:0072661	na
neutrophil chemotaxis	GO:0072661	na
lymphocyte chemotaxis	GO:0072661	na
chemokine-mediated signaling pathway	GO:0072661	na
positive regulation of ERK1 and ERK2 cascade	GO:0072661	na
sodium ion transmembrane transport	GO:0072661	na
cardiac conduction	GO:0072661	na
potassium ion transmembrane transport	GO:0072661	na
female pregnancy	GO:0072661	na
negative regulation of gene expression	GO:0072661	na
negative regulation of interferon-gamma production	GO:0072661	na
negative regulation of tumor necrosis factor production	GO:0072661	na
positive regulation of interleukin-4 production	GO:0072661	na
positive regulation of NF-kappaB import into nucleus	GO:0072661	na
positive regulation of interleukin-1 beta secretion	GO:0072661	na
positive regulation of NF-kappaB transcription factor activity	GO:0072661	na
ERK1 and ERK2 cascade	GO:0072661	na
response to interleukin-1	GO:0072661	na
positive regulation of interleukin-6 secretion	GO:0072661	na
toll-like receptor 4 signaling pathway	GO:0072661	na
platelet aggregation	GO:0072661	na
platelet degranulation	GO:0072661	na
positive regulation of exocytosis	GO:0072661	na
positive regulation of release of cytochrome c from mitochondria	GO:0072661	na
steroid metabolic process	GO:0072661	na
activation of MAPK activity	GO:0072661	na
toll-like receptor signaling pathway	GO:0072661	na
MyD88-dependent toll-like receptor signaling pathway	GO:0072661	na
MyD88-independent toll-like receptor signaling pathway	GO:0072661	na
I-kappaB kinase/NF-kappaB signaling	GO:0072661	na
lipopolysaccharide-mediated signaling pathway	GO:0072661	na
negative regulation of interleukin-6 production	GO:0072661	na
positive regulation of chemokine production	GO:0072661	na
positive regulation of interferon-beta production	GO:0072661	na
positive regulation of interferon-gamma production	GO:0072661	na
positive regulation of interleukin-10 production	GO:0072661	na
positive regulation of interleukin-12 production	GO:0072661	na
positive regulation of interleukin-6 production	GO:0072661	na
positive regulation of interleukin-8 production	GO:0072661	na
positive regulation of tumor necrosis factor production	GO:0072661	na
TRIF-dependent toll-like receptor signaling pathway	GO:0072661	na
positive regulation of inflammatory response	GO:0072661	na
necroptotic process	GO:0072661	na
negative regulation of ERK1 and ERK2 cascade	GO:0072661	na
cellular response to mechanical stimulus	GO:0072661	na
lamellipodium assembly	GO:0072661	na
positive regulation of cell adhesion	GO:0072661	na
focal adhesion assembly	GO:0072661	na
negative regulation of cell growth	GO:0072661	na
activation of cysteine-type endopeptidase activity involved in apoptotic process	GO:0072661	na
