GeneSym	UniprotACC	GeneID
SHTN1	A0MZ66	57698
SNRPGP15	A8MWD9	100130932
MYO1C	O00159	4641
SNAP23	O00161	8773
PSMD12	O00232	5718
HIP1	O00291	3092
QSOX1	O00391	5768
DNM1L	O00429	10059
BIN1	O00499	274
SDCBP	O00560	6386
PODXL	O00592	5420
DYNC1I1	O14576	1780
TOR1A	O14656	1861
STX16	O14662	8675
ADAM10	O14672	102
ITGB1BP1	O14713	9270
SLC9A3R1	O14745	9368
CHEK1	O14757	1111
NRP1	O14786	8829
CASK	O14936	8573
AURKA	O14965	6790
RAB29	O14966	8934
PPP1R12A	O14974	4659
XPO1	O14980	7514
CEP290	O15078	80184
STX7	O15400	8417
YKT6	O15498	10652
HTRA2	O43464	27429
PROM1	O43490	8842
RAD51C	O43502	5889
XRCC3	O43542	7517
RGS14	O43566	10636
ACTN4	O43707	81
AP1G1	O43747	164
STX6	O43752	10228
MYO1B	O43795	4430
PRKN	O60260	5071
SNX3	O60493	8724
JAK2	O60674	3717
NOS1AP	O75052	9722
CLASP2	O75122	23122
COBL	O75128	23242
OBSL1	O75147	23363
RAB11FIP3	O75154	9727
DNAJC13	O75165	23317
ZPR1	O75312	8882
H2AFY	O75367	9555
VAMP4	O75379	8674
ULK1	O75385	8408
VPS26A	O75436	9559
LRP6	O75581	4040
DYSF	O75923	8291
FLOT1	O75955	10211
MYO1D	O94832	4642
SEC31A	O94979	22872
TNKS	O95271	8658
SVIL	O95425	6840
SNAP29	O95721	9342
STAU1	O95793	6780
BCL10	O95999	8915
SOD1	P00441	6647
ABL1	P00519	25
EGFR	P00533	1956
SERPINA1	P01009	5265
LDLR	P01130	3949
TGFA	P01135	7039
TGFB1	P01137	7040
HLA-H	P01893	3136
HLA-DRA	P01903	3122
HLA-DQA2	P01906	3118
HLA-DQA1	P01909	3117
HLA-DQB1	P01920	3119
APOA1	P02647	335
APOE	P02649	348
FGA	P02671	2243
FGB	P02675	2244
FGG	P02679	2266
TFRC	P02786	7037
TF	P02787	7018
LTF	P02788	4057
ALDOA	P04075	226
ANXA1	P04083	301
APOB	P04114	338
THY1	P04216	7070
CD74	P04233	972
GAPDH	P04406	2597
HLA-DPB1	P04440	3115
TP53	P04637	7157
APP	P05067	351
ITGB3	P05106	3690
ITGB2	P05107	3689
SERPINA5	P05154	5104
HLA-DQB2	P05538	3120
ITGB1	P05556	3688
GSN	P06396	2934
CDK1	P06493	983
ATP5B	P06576	506
S100A9	P06702	6280
APOA4	P06727	337
ITGAV	P06756	3685
ANXA2	P07355	302
TUBB	P07437	203068
HSP90AA1	P07900	3320
LAMB1	P07942	3912
LYN	P07948	4067
THBS1	P07996	7057
RHO	P08100	6010
CD55	P08174	1604
HSP90AB1	P08238	3326
MME	P08473	4311
CD63	P08962	967
GSTP1	P09211	2950
VIL1	P09327	7429
SPARC	P09486	6678
CTSH	P09668	1512
FURIN	P09958	5045
UBB	P0CG47	7314
UBC	P0CG48	7316
HSPA1A	P0DMV8	3303
HSPA1B	P0DMV9	3304
MAPT	P10636	4137
HSPD1	P10809	3329
CLU	P10909	1191
HSPA5	P11021	3309
HSPA8	P11142	3312
LAMP1	P11279	3916
DMD	P11532	1756
IGF2R	P11717	3482
PCNA	P12004	5111
TPR	P12270	7175
ACTN1	P12814	87
CDH1	P12830	999
SRC	P12931	6714
XRCC6	P12956	2547
LAMP2	P13473	3920
CFTR	P13569	1080
EEF2	P13639	1938
CEACAM1	P13688	634
HLA-E	P13747	3133
HLA-DRB4	P13762	3126
LCP1	P13796	3936
CD59	P13987	966
PKM	P14618	5315
HSP90B1	P14625	7184
SNRPB	P14678	6628
JUP	P14923	3728
B4GALT1	P15291	2683
EZR	P15311	7430
FOLR1	P15328	2348
KCNA2	P16389	3737
CD36	P16671	948
GJA1	P17302	2697
PRKACA	P17612	5566
CAPN2	P17655	824
LGALS3	P17931	3958
PSMC3	P17980	5702
VCL	P18206	7414
CDH2	P19022	1000
VCAM1	P19320	7412
SLC9A1	P19634	6548
HLA-DPA1	P20036	3113
RAB3A	P20336	5864
RAB5A	P20339	5868
RAB6A	P20340	5870
ZP3	P21754	7784
FGFR2	P21802	2263
RYR1	P21817	6261
UBA1	P22314	7317
NME2	P22392	4831
HNRNPA2B1	P22626	3181
CA4	P22748	762
RPS3	P23396	6188
CRHBP	P24387	1393
APC	P25054	324
FAS	P25445	355
ITGA3	P26006	3675
MSN	P26038	4478
ZFP36	P26651	7538
STOM	P27105	2040
MAPK3	P27361	5595
ATP6V0C	P27449	527
APEX1	P27695	328
CALR	P27797	811
MAPK1	P28482	5594
CD34	P28906	947
NOS1	P29475	4842
AQP1	P29972	358
PRDX5	P30044	25824
CORO1A	P31146	11151
CTNNB1	P35222	1499
PHB	P35232	5245
RDX	P35241	5962
MYH9	P35579	4627
MYH10	P35580	4628
ACTN2	P35609	88
PSMC2	P35998	5701
ARL2	P36404	402
MAP2K2	P36507	5605
NUP62	P37198	23636
SNCA	P37840	6622
BRCA1	P38398	672
GRIA1	P42261	2890
MTOR	P42345	2475
HTT	P42858	3064
ECE1	P42892	1889
PAFAH1B1	P43034	5048
CBX5	P45973	23468
ATRX	P46100	546
NOTCH1	P46531	4851
RPS9	P46781	6203
NEDD4	P46934	4734
IQGAP1	P46940	8826
CSNK1D	P48730	1453
SLC11A2	P49281	4891
