structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z
4143,9,11281,CX,"MTG-i","middle temporal gyrus, left, inferior bank of gyrus",1283581,149,106,137,-58.0,-46.0,3.0
4151,9,11305,CX,"ITG-mts","inferior temporal gyrus, left, bank of mts",1283601,152,128,137,-61.0,-46.0,-19.0
4149,9,11289,CX,"ITG-its","inferior temporal gyrus, left, bank of the its",1283603,143,126,137,-52.0,-46.0,-17.0
4142,8,11335,CX,"MTG-s","middle temporal gyrus, left, superior bank of gyrus",1279507,151,108,127,-60.0,-36.0,1.0
4135,8,11319,CX,"STG-l","superior temporal gyrus, left, lateral bank of gyrus",1283331,160,100,127,-69.0,-36.0,9.0
4143,7,11263,CX,"MTG-i","middle temporal gyrus, left, inferior bank of gyrus",1284160,149,128,110,-58.0,-19.0,-19.0
4273,6,11326,CX,"SIG","short insular gyri, left",1280038,134,96,99,-43.0,-8.0,13.0
4270,6,11318,CX,"LIG","long insular gyri, left",1280037,132,104,100,-41.0,-9.0,5.0
4178,6,11310,CX,"PLP","planum polare, left",1284515,150,104,99,-59.0,-8.0,5.0
4135,6,11302,CX,"STG-l","superior temporal gyrus, left, lateral bank of gyrus",1280036,158,105,99,-67.0,-8.0,4.0
4089,6,11286,CX,"PoG-il","postcentral gyrus, left, inferior lateral aspect of gyrus",1280041,159,86,99,-68.0,-8.0,23.0
4280,4,11278,CX,"HCd","head of caudate nucleus, left",1275919,104,100,74,-13.0,17.0,9.0
4901,4,11262,CX,"IRoG","inferior rostral gyrus, left",1275894,95,118,75,-4.0,16.0,-9.0
4291,4,11254,CX,"Acb","nucleus accumbens, left",1273712,103,117,75,-12.0,16.0,-8.0
4288,4,11341,CX,"Pu","putamen, left",1273711,114,110,74,-23.0,17.0,-1.0
4114,9,11265,CX,"AnG-i","angular gyrus, left, inferior bank of gyrus",1283526,147,80,138,-56.0,-47.0,29.0
4121,9,11296,CX,"Pcu-i","precuneus, left, inferior lateral bank of gyrus",1283467,97,59,137,-6.0,-46.0,50.0
4120,9,11288,CX,"Pcu-s","precuneus, left, superior lateral bank of gyrus",1283468,101,50,137,-10.0,-46.0,59.0
4090,9,11280,CX,"PoG-pcs","postcentral gyrus, left, bank of the posterior central sulcus",1283469,111,41,137,-20.0,-46.0,68.0
4099,9,11328,CX,"SPL-i","superior parietal lobule, left, inferior bank of gyrus",1283492,122,64,138,-31.0,-47.0,45.0
4113,9,11320,CX,"AnG-s","angular gyrus, left, superior bank of gyrus",1283486,135,61,138,-44.0,-47.0,48.0
4230,9,11336,CX,"CgGp-s","cingulate gyrus, parietal part, left, superior bank of gyrus",1283510,94,72,137,-3.0,-46.0,37.0
4106,8,11303,CX,"SMG-s","supramarginal gyrus, left, superior bank of gyrus",1279525,137,66,126,-46.0,-35.0,43.0
4090,8,11295,CX,"PoG-pcs","postcentral gyrus, left, bank of the posterior central sulcus",1279524,123,70,126,-32.0,-35.0,39.0
4158,8,11272,CX,"FuG-its","fusiform gyrus, left, bank of the its",1279552,137,142,127,-46.0,-36.0,-33.0
4072,7,11261,CX,"PCLa","paracentral lobule, anterior part, left",1280393,96,37,111,-5.0,-20.0,72.0
4013,7,11245,CX,"PrG-sl","precentral gyrus, left, superior lateral aspect of gyrus",1279775,104,36,111,-13.0,-20.0,73.0
4158,7,11222,CX,"FuG-its","fusiform gyrus, left, bank of the its",1279887,138,143,110,-47.0,-19.0,-34.0
4151,7,11214,CX,"ITG-mts","inferior temporal gyrus, left, bank of mts",1279885,144,135,110,-53.0,-19.0,-26.0
